jp,fr,occurrences,has_var,en_hint
"ギルド主催のイベントに、
参加しクリアすることで、
希にもらえるチケット。",,1,yes,"Ticket that can be rarely obtained
by participating and clearing
guild-sponsored events."
"肉の旨味を知り尽くした者に、
贈られるチケット。",,1,yes,"A ticket given to those who
know the taste of meat."
"モノブロスの狩猟に成功した
者だけが得る誉れ。
一流ハンター免許皆伝の証。",,1,yes,"An honor for only those who
have successfully hunted Monoblos.
Proof of a first-class hunter."
"道場のポイントで交換できる
大剣チケット。
集めるといい事がある？",,1,yes,"Great Sword ticket that can be
exchanged for points from the
Hunter's Dojo. Collect enough and it might pay off."
"道場のポイントで交換できる
ハンマーチケット。
集めるといい事がある？",,1,yes,"Hammer ticket that can be exchanged
for points from the Hunter's Dojo.
Collect enough and it might pay off."
"道場のポイントで交換できる
ランスチケット。
集めるといい事がある？",,1,yes,"Lance ticket that can be exchanged
for points from the Hunter's Dojo.
Collect enough and it might pay off."
"道場のポイントで交換できる
片手剣チケット。
集めるといい事がある？",,1,yes,"SnS ticket that can be exchanged
for points from the Hunter's Dojo.
Collect enough and it might pay off."
"道場のポイントで交換できる
ガンナーチケット。
集めるといい事がある？",,1,yes,"Gunner ticket that can be exchanged
for points from the Hunter's Dojo.
Collect enough and it might pay off."
"肉球のスタンプが押されてい
る獣人族の紙幣。
書いてある文字は読めない。",,1,yes,"Lynian paper currency, stamped with
a pawprint. The letters written
on it are unfamiliar."
"【ＣＴアイテム】
ＦチケットＣＴ１",,1,yes,"【ＣＴItem】
F Ticket CT 1"
"【ＣＴアイテム】
ＦチケットＣＴ２",,1,yes,"【ＣＴItem】
F Ticket CT 2"
"【ＣＴアイテム】
ＦチケットＣＴ３",,1,yes,"【ＣＴItem】
F Ticket CT 3"
"【ＣＴアイテム】
ＦチケットＣＴ４",,1,yes,"【ＣＴItem】
F Ticket CT 4"
"マカ麹が入っている
不思議な壷。神秘の発酵が
物質を変化させる。",,1,yes,"A mysterious pot containing a mold
called Mocha Kouji. Mysterious fermentation
changes the substance."
"薬草が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Herb inside.
Bury it in your favorite spot."
"げどく草が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Antidote Herb
inside. Bury it in your
favorite spot."
"回復薬が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Potion inside.
Bury it in your favorite spot."
"回復薬グレートが入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Mega Potion
inside. Bury it in your
favorite spot."
"栄養剤が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Nutrients
inside. Bury it in your
favorite spot."
"応急薬が入っている
マカ漬けの壷。埋めてみよう。
{c05}（支給品専用）",,1,yes,"Mocha Pot with First-Aid
Med inside. Fill it up.
{c05}（Supply Only）"
"携帯食料が入っている
マカ漬けの壷。埋めてみよう。
{c05}（支給品専用）",,1,yes,"Mocha Pot with Ration inside.
Fill it up.
{c05}（Supply Only）"
"解毒薬が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Antidote
inside. Bury it in your
favorite spot."
"漢方薬が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Herbal Medicine
inside. Bury it in your
favorite spot."
"強走薬が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Power Juice
inside. Bury it in your
favorite spot."
"怪力の丸薬が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Power Pill
inside. Bury it in
your favorite spot."
"忍耐の丸薬が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Armor Pill
inside. Bury it in
your favorite spot."
"怪力の種が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Power Seed
inside. Bury it in your
favorite spot."
"忍耐の種が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Armor Seed
inside. Bury it in your
favorite spot."
"コゲ肉が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Burnt Meat
inside. Bury it in your
favorite spot."
"生焼け肉が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Rare Steak
inside. Bury it in your
favorite spot."
"コゲ魚が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Burnt Fish
inside. Bury it in your
favorite spot."
"生焼け魚が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Rare Fish
inside. Bury it in your
favorite spot."
"太陽草が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Day Herb
inside. Bury it in your
favorite spot."
"落陽草が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Sunset Herb
inside. Bury it in your
favorite spot."
"火薬草が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Fire Herb
inside. Bury it in your
favorite spot."
"アオキノコが入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Blue
Mushroom inside. Bury it in
your favorite spot."
"ドス級魚が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with a Dos Fish
(type) inside. Bury it in
your favorite spot."
"特産キノコが入っている
マカ漬けの壷。埋めてみよう。
{c05}（精算アイテム）",,1,yes,"Mocha Pot with Special
Mushroom inside. Fill it up.
{c05}（Premium Item）"
"厳選キノコが入っている
マカ漬けの壷。埋めてみよう。
{c05}（精算アイテム）",,1,yes,"Mocha Pot with Select
Mushroom inside. Fill it up.
{c05}（Premium Item）"
"サボテンの花が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Cactus
Flower inside. Bury it in your
favorite spot."
"フルフルベビーが入っている
マカ漬けの壷。埋めてみよう。
{c05}（精算アイテム）",,1,yes,"Mocha Pot with Khezu Whelp
inside. Fill it up.
{c05}（Premium Item）"
"ゲキレツ毒テングが
入っているマカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Deadly
Mushroom inside. Bury it in
your favorite spot."
"米虫が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Rice Bug
inside. Bury it in your
favorite spot."
"ウォーミル麦が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Warwheat
inside. Bury it in your
favorite spot."
"レッドオイルが入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Red Oil
inside. Bury it in your
favorite spot."
"ドライマーガリンが
入っているマカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Dry Margarine
inside. Bury it in your
favorite spot."
"虫の死骸が入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Insect Husk
inside. Bury it in your
favorite spot."
"もえないゴミが入っている
マカ漬けの壷。
好きな場所に埋めてみよう。",,1,yes,"Mocha Pot with Garbage inside.
Bury it in your favorite spot."
"装飾品の素材として
かかせない珠。
ちょっと高級なのがタマに傷。",,1,yes,"An indispensable item used
in Decorations. A shame
that these are so high-end."
"装飾品の素材として
かかせない珠。
滅多に手に入らない代物。",,1,,"An indispensable item used
in Decorations. This one doesn't
come along often."
採取スキルがアップする装飾品。,,1,yes,"A decoration that improves
your gathering skill."
"耐雪スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your snowball skill by 1"
"耐震スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your quake skill by 1"
"声帯スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your vocal chords skill by 1"
"地形スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your terrain skill by 1"
"回復スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your recovery skill by 1"
"特殊攻撃スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your status attack skill by 1"
"自動防御スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your auto-guard skill by 1"
"スタミナスキルが
アップする装飾品。",,1,yes,"A decoration that improves
your stamina skill by 1"
"はらへりスキルが
アップする装飾品。",,1,yes,"A decoration that improves
your hunger skill by 1"
"食いしん坊スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your gluttony skill by 1"
"食事スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your feasting skill by 1"
"匠・連射スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your expert skill by 3"
"投擲スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your throwing skill by 1"
"調合成功率スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your combining skill by 1"
"弾調合スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your ammo combo skill by 1"
"錬金術スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your alchemy skill by 1"
"装填スキルが
アップする装飾品。",,1,yes,
"装填数スキルが
アップする装飾品。",,1,yes,
"精密射撃スキルが
アップする装飾品。",,1,yes,
"通常弾強化スキルが
アップする装飾品。",,1,yes,
"貫通弾強化スキルが
アップする装飾品。",,1,yes,
"散弾強化スキルが
アップする装飾品。",,1,yes,
"研ぎ師スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your sharpening skill by 1"
"肉焼きスキルが
アップする装飾品。",,1,yes,"A decoration that improves
your cooking skill by 1"
"審判スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your protection skill by 1"
"盗み無効スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your anti-theft skill by 1"
"釣りスキルが
アップする装飾品。",,1,yes,"A decoration that improves
your fishing skill by 1"
"地図スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your mapper skill by 1"
"気配スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your stealth skill by 1"
"底力スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your adrenaline skill by 1"
"モンスタースキルが
アップする装飾品。",,1,yes,"A decoration that improves
your monster skill by 1"
"爆弾強化スキルが
アップする装飾品。",,1,yes,"A decoration that improves
your bomb boost skill by 1"
"攻撃系スキルが
アップする装飾品。
{c05}（特殊装飾品）",,1,yes,"A decoration that improves
your gallery attack skill by 1"
"防御系スキルが
アップする装飾品。
{c05}（特殊装飾品）",,1,yes,"A decoration that improves
your defense skill by 3"
"火耐性スキルが
アップする装飾品。
{c05}（特殊装飾品）",,1,yes,"A decoration that improves
your fire skill by 5"
"水耐性スキルが
アップする装飾品。
{c05}（特殊装飾品）",,1,yes,"A decoration that improves
your water skill by 5"
"氷耐性スキルが
アップする装飾品。
{c05}（特殊装飾品）",,1,yes,"A decoration that improves
your ice skill by 5"
"雷耐性スキルが
アップする装飾品。
{c05}（特殊装飾品）",,1,yes,"A decoration that improves
your thunder skill by 5"
"龍耐性スキルが
アップする装飾品。
{c05}（特殊装飾品）",,1,yes,"A decoration that improves
your dragon skill by 5"
"マグマに近い鉱床で採れる
鉱石。腕利きの職人しか
扱えない。",,1,yes,"This magma-like ore can
only be handled by trained
hands."
"加工の方法や組み合わせる
素材により、様々な色彩と
特性を発揮する、夢の鉱石。",,1,,"This craftsman's dream can
be combined to produce many
colors and properties."
"【ハルヨコイ】と呼ばれる鯉
の一種。繁殖期に、最も多く
見ることができる。",,1,yes,"A species of carp most
frequently seen during
springtime."
"高粘性の体液と鋭いアゴで
破壊と創造を繰り返し、
芸術的な蟻塚を築くアリ。",,1,yes,"This insect is an artisan,
using sticky body fluids and
sharp jaws to great effect."
"加工の方法や組み合わせる
素材により、様々な色彩と
特性を発揮する、夢の虫素材。",,1,,"This craftsman's dream can
be combined to produce many
colors and properties."
"大きな角と分厚い甲殻を持ち、
羽根は蝶のように美しいと
いう不思議な虫。",,1,,"An insect with a giant horn,
a massive shell, and wings
of butterfly-like beauty."
"堅い甲殻を持つ、特大サイズ
のてんとう虫の一種。害虫を
食べて農作物を守る。",,1,yes,"A giant insect with a very
hard shell. Protects crops
by eating harmful pests."
"キングチャチャブーの持ち物。
王の持ち物に相応しい立派な
…ゴミ？",,1,yes,"Dropped by a King Shakalaka.
For an item owned by royalty
it looks like... trash..."
"ギアノスから剥ぎ取った鱗。
雪に紛れて獲物に近づくのに
適した色合いを持つ。",,1,yes,"This scale camouflages you
in the snow, allowing you to
approach your prey unseen."
"ギアノスから剥ぎ取った
上質な鱗。より優れた武具の
加工を可能にする。",,1,yes,"A scale ripped from a
Giaprey. Used to craft
excellent equipment."
"鱗を剥ぎ取った状態の皮。
なめされて革となる。
上品なその色は人気が高い。",,1,,"A hide stripped of its
scales. Its classy color is
very popular."
"ドスギアノスの皮。
群れのリーダーの皮には、
幾多の戦いの傷が残る。",,1,yes,"The hide of a Giadrome. It
bears the scars of a
pack leader's battles."
"ドスギアノスの爪。
ギアノスのものよりも鋭く、
素手で触るのはとても危険。",,1,yes,"Sharper than a Giaprey claw,
touching it bare-handed is
quite dangerous."
"ドスギアノスの鋭い爪。
数々の獲物を仕留めてきた、
リーダーの凶暴な武器。",,1,yes,"This sharp claw is the
deadly weapon of choice for
Giadrome pack leaders."
"ドスギアノスの頭。
大きなトサカが、群れの
リーダーの証。",,1,yes,"The large crest of this
Giadrome skull marks it out
as that of a pack leader."
"はるか昔、砂漠に消えた国の
王墓より発見されたという布。
禍々しい雰囲気をもつ。",,1,,"A cloth discovered by the
king of an ancient desert
land. Feels sinister."
"見知らぬ文明の力を感じる石。
すごい技術が使われている
らしい。{c05}（精算アイテム）",,1,yes,"A stone with the power of
an unknown civilization.
{c05}(Account Item)"
"鋼龍石に降りた溶けにくい霜。
その冷気は極めて強く長く保た
れるため武具にも重宝される。",,1,,"Frost from a steel dragon
that will not melt. Its
chill is used in weapons."
"化石化した鋼龍の鱗。
夜になると急激に冷えて極微量
の溶けにくい霜を降ろす。",,1,,"A fossilized steel dragon
scale. Very cold frost forms
on it at night."
"粘土状で柔らかい。
一見クズ石だが、実は鉱石の
限界を引き伸ばす超希少鉱石。",,1,yes,"Soft and clay-like, this
looks like a Khezu stone,
but is in fact a rare ore."
"掴むことすら困難なほど
ヌメリ成分たっぷりのキノコ。",,1,yes,"Very hard to get hold of,
this mushroom is packed with
a slimy liquid."
"一度くっついたら剥がれない
強力なトリモチ状の泡を吐き
獲物を捕食するケムシ。",,1,yes,"Predatory bug. Squirts a
foam that's impossible to
scrape off."
"高圧で水を吐くための水袋を
持ち、水上の獲物すら撃ち落と
して捕食する恐るべき魚。",,1,,"Predatory fish that attacks
prey above the surface by
squirting water from sacs."
"家庭の鍋から、貴金属まで
用途万能な研磨剤の元となる
鉱石。",,1,,"An ore that forms the base
of a polish that's used for
all sorts of metals."
"ギャラリー大会に参加すると
もらえるチケット。
集めておくと良いことが！？",,1,yes,"A ticket received for taking
part in the Decor Derby.
Try collecting them!"
"ギャラリー大会Ｇに参加する
ともらえるチケット。
集めておくと良いことが！？",,1,yes,"A ticket received for taking
part in the Decor Derby+.
Try collecting them!"
"雷光虫の体液。
蓄えられた相当量の電気が、
衝撃を加えることで放電する。",,1,,"Fluids of the Thunderbug.
Can cause an electrical
surge when stockpiled."
"混沌を喚ぶといわれるキノコ。
特殊な胞子を吸ったモンスタ
ーは幻覚に包まれるという。",,1,yes,"Its spores make monsters
hallucinate when inhaled,
causing total chaos."
"モンスターの内臓器官の１つ。
非常に高濃度の毒が溜まって
いる袋。触っただけでも危険。",,1,yes,"A monster organ filled
with a potent toxin. 
Dangerous even to touch."
"モンスターの内臓器官の１つ。
外気に触れるだけで発火する
粉塵が詰まっている。危険！",,1,yes,"A monster organ filled with
powder that ignites when
exposed to air."
"モンスターの内臓器官の１つ。
特殊な臓器に溜め込まれた
電気は、高圧電流に匹敵する。",,1,yes,"A monster organ that
contains a strong electrical
charge."
"上質な竜の骨。入手は困難だ
が、強力な武具の加工には、
欠かせない素材。",,1,,"Top-quality monster bone.
Hard to find, but vital for
crafting tough equipment."
"獣の丈夫な骨。
加工の容易な素材。",,1,,"The stout bone of a
brutish monster. An easy
material to work with."
"堅く大きな獣の骨。
高い剛性を持つ骨素材として、
武具の加工に重宝される。",,1,,"A hard monster bone.
Its rigidity makes it
priceless for crafting."
"滅多に見れない貴重な玉。
体内で長い年月を経たネコの
毛玉は、宝石のごとき輝き。",,1,yes,"A rare and priceless gem
formed when a hairball
hardens inside a Felyne."
"勇猛な大猪の牙。
牙につく多数の傷は、
数々の突進によるもの。",,1,,"A majestic Bulldrome Tusk.
Its damaged surface tells
of many hard-fought battles."
"手触りの良い上質な毛皮。
剥ぎ取るのは難しい。
ギルドでも重宝される素材。",,1,yes,"A lovely material to touch.
Difficult to carve, but
valued by the Guild."
"ギアノスから剥ぎ取った上質
な皮。頑丈な武具への加工が
期待できる。",,1,yes,"A high-quality Giaprey Hide.
It should allow the crafting
of some sturdy gear."
"鱗を剥ぎ取った状態の
上質な皮。丁寧になめされた
革は多様な使い道がある。",,1,,"A high-quality descaled
Velociprey hide. A very
versatile material."
"鱗を剥ぎ取った状態の
上質な皮。神経系の毒素を
中和する効力を持つ。",,1,,"A high-quality descaled
Genprey hide. Capable of
neutralizing neurotoxins."
"ドスゲネポスのしなやかな尾。
砂漠に適応した強固な鱗が、
表面をびっしりと覆っている。",,1,yes,"This supple tail has evolved
hard scales to survive in
harsh desert conditions."
"鱗を剥ぎ取った状態の上質な
皮。装飾にも利用される赤い
革は、一切の毒の進入を拒む。",,1,,"A high-quality descaled
Ioprey hide. Its red skin
resists poison."
"イャンクックの上質な鱗。
大きさも厚さも、通常の鱗
とは一味違う高級感。",,1,yes,"A superior Kut-Ku scale.
A cut above in both size
and weight."
"青いイャンクックの上質な鱗。
複雑な青みを見せる鱗は、
信じられない程クール。",,1,yes,"A superior Blue Kut-Ku
scale. Its complex blue
color is the height of cool."
"ブランゴの真っ白い毛束。
雪山の環境から体を守る毛は、
防寒具の素材に最適。",,1,yes,"This white pelt is perfect
for protecting the body
against mountain cold."
"ブランゴの硬い毛。並みの毛
より加工が困難になるものの、
利用価値の高い魅力の素材。",,1,yes,"Harder to work with than
normal Blango Pelt, but has
high value as a material."
"コンガの毛。
丈夫で手触りの良い素材。",,1,yes,"Conga fur. Solid and
pleasant to the touch."
"コンガの硬い毛。
この太く成長した毛で作った
武具は、耐久力に優れる。",,1,yes,"The hard pelt of a Conga.
The thick fur makes for
long-lasting equipment."
"ガノトトスの美しい上ビレ。
美しさとは裏腹に、その棘
には神経性の毒を持つ。",,1,yes,"A beautiful upper fin.
Its spikes are filled
with a potent neurotoxin."
"翠色ガノトトスの上質な鱗。
澄んだ翠色は見る者を
魅了する。",,1,yes,"This high-quality scale from
a Green Plesioth has a
very eye-catching color."
"翠色のガノトトスの上ビレ。
柔軟で加工しやすく、
宝飾品にも広く利用される。",,1,yes,"A high-quality fin from a
Green Plesioth. Easy to
work with, and widely used."
"火竜の体内に流れる体液。
高温を発生する体液は、
武具への利用が期待できる。",,1,,"Heat-producing bodily fluids
from a fire wyvern. Useful
in equipment crafting."
"剥ぎ取り技術が進化した最近
になって切り出せた素材。燃
え盛るこの器官は加工が困難。",,1,,"An organ made available by
new carving techniques.
Very difficult to work with."
"涙腺の辺りでまれに発見
される鉱石。淡い桃色は
まるで宝石の様。",,1,,"A pink ore found near the
tear ducts of a Basarios.
Looks just like a jewel."
"グラビモスの延髄。
鎧竜素材の中でも、特に
貴重で加工が難しい素材。",,1,yes,"A Gravios brain stem is
precious, but very difficult
to work with."
"黒いディアブロスの堅い甲殻。
砂漠の熱風に長期間曝されて
も劣化しない頑強さ。",,1,yes,"The hard shell of a Black
Diablos is impervious to
harsh desert winds."
"カンタロスの甲殻の中でも
特に堅い部位。加工すること
で特殊な性質を発揮する。",,1,yes,"The hard part of a Hornetaur
shell. Exhibits special
properties when crafted."
"巨龍から剥ぎ取った赤黒い
上質な鱗。その硬度は
飛竜類の堅殻に匹敵する。",,1,,"A deep-red scale that rivals
a carapace when it comes to
hardness."
"砦蟹から剥ぎ取った堅殻。
さらに長い年月を経た甲殻は
金属を凌ぐ素材となる。",,1,,"Hardened by time, this
carapace is even tougher
than metal."
"シェンガオレンの背中の堅殻。
この厚い殻を纏って歩く砦蟹
の姿は、まさに難攻不落の城。",,1,yes,"Shell from a Gaoren's spine.
Gives it the appearance of
an impregnable fortress."
"炎龍から剥ぎ取った翼膜。
不思議な性質のその翼膜は
様々な加工が施される。",,1,,"Wing webbing carved from a
Fire Dragon. A marvelous
material with myriad uses."
"神々しく光る龍苔。
不思議な効力を持ち、加工品
をより上質な物へと仕上げる。",,1,,"Its mysterious effects can
increase the quality of any
item."
"神々しく光る龍木。
不思議な効力を持ち、
目を見張る力を武具に与える。",,1,,"This shining Dragonwood can
produce some eye-poppingly
impressive equipment."
"凶暴なティガレックスから
剥ぎ取った鱗。
とても分厚く、頑丈。",,1,yes,"A scale from an incredibly
violent Tigrex. Bulky and
incredibly tough."
"傷ひとつない轟竜の上質な鱗。
重ね合わせる事で、上質な鋼
を楽に上回る硬度となる。",,1,,"A flawless Tigrex scale.
Harder than steel when
interlocked."
"どんな衝撃も跳ね返す、
ティガレックスの甲殻。
驚くほどの頑強さを持つ。",,1,yes,"A hard Tigrex shell,
capable of repelling any
impact. Shockingly tough."
"年月を経て堅さを増した轟竜
の甲殻。鋭く尖ったエッジが、
轟竜の凶暴さを物語る。",,1,yes,"Hardened by the sands of
time, its edges indicate a
Tigrex's ferocity."
"凶暴なティガレックスの尻尾。
しなやかで強力な尻尾は、
頑強な武具へと生まれ変わる。",,1,yes,"Top-quality equipment can be
made from this strong and
supple tail."
"他の飛竜には見られない、
特徴的な前肢にある轟竜の爪。
凶悪な切れ味を誇っている。",,1,,"A distinctive forelimb
claw, not seen on other
wyverns. Fiendishly sharp."
"年月を経た轟竜の鋭い爪。
引き裂いた獲物の数だけ
鋭くなると言う。",,1,,"Sharpened by the sands of
time--and by the blood of
its victims."
"ティガレックスの牙。
獲物を砕く恐怖の牙に、
誰もが震えを隠せない。",,1,yes,"No one can hide their fear
of this terrible fang,
sharpened by pain itself."
"ティガレックスの鋭い牙。
鋭さを増した牙は、いかなる
獲物も容易く切り裂く。",,1,yes,"The sharp fangs of a
Tigrex can cut any prey to
shreds."
"ティガレックスの頭。
未だ生きているかのような
恐ろしい外見。",,1,yes,"The skull of a violent
Tigrex. Just as dreadful
in death as in life."
"鈍く光る覇竜の鱗。
溶岩の中でも溶けない、
恐ろしいほどの頑強さ。",,1,,"A faintly glittering Akantor
Scale. It will not melt,
even if dipped in lava."
"鈍く光る覇竜の甲殻。
上等な鉱物の数倍の堅牢さを
誇る。加工は困難。",,1,,"A shining Akantor Shell.
Exceptionally hard, and
thus difficult to craft."
"大岩のような覇竜の尻尾。
擦れた大地が丸ごと削り
取られる程の重さと迫力。",,1,,"The large, rock-like tail 
of an Akantor. Strong
enough to gouge the earth."
"大地をも砕く覇竜の剛爪。
堅い岩盤も容易く砕く爪は、
もはや生物の物とは思えない。",,1,,"A hard Akantor Claw that can
smash bedrock. Its victims
are left unrecognizable."
"天を突く覇竜の大牙。数多の
外敵を貫いたであろうそれは、
牙というにはあまりに巨大。",,1,,"A huge fang that slices
through the sky--and
through its victims."
"傷ひとつ負うことなく、
触れた岩盤を容易く削り取る、
黒炎の装甲に生える覇竜の棘。",,1,,"A flawless Akantor armor
spike, capable of cutting
through rock like butter."
"鮮やかな橙色をした、眠鳥の
体毛。その繊維は、しなやかで
強靭。",,1,,"The vibrant orange pelt of
a Hypnocatrice. Makes a very
strong and supple fiber."
"にぶく黒光りする眠鳥の爪。
折れにくいため、武具の装飾に
重宝される。",,1,,"A darkly glowing claw from a
Hypnocatrice. Hard to break,
so a good weapon decoration."
"光加減で七色に見える尾羽根。
装飾用品として多用される。
若いご婦人に特に人気。",,1,,"A light-refracting tail
feather. Used in jewelry and
loved by young women."
"複雑な形の眠鳥のクチバシ。
独特のフォルムが、一部好事家
ハンターに人気。",,1,yes,"This beak's unique shape
makes it popular in some
hunting circles."
"眠鳥が、消化を助けるために
飲む砂利が結晶化したもの。
透明で美しい輝きを放つ。",,1,,"A crystallized pebble from
a Hypnocatrice's digestive
tract. Shining and opaque."
"飛びぬけて美しい毛並みと色を
持つ、眠鳥から剥いだ橙毛。
武具素材としての価値も高い。",,1,,"Carved from a Hypnocatrice,
this pelt has beautiful
texture and color. Pricey."
"形が整っており、牙のような
鋭さを感じさせるクチバシ。
堅さをも兼ね備える。",,1,yes,"This beak is sharp enough to
be a fang, and possesses
great hardness."
"眠鳥から剥ぎ取った上質な爪。
非常に鋭く、そして堅い。
つややかな黒は、上質の証。",,1,,"A very sharp and rigid claw.
Its gleam is a sign of its
quality."
"眠鳥の胃石の中でも、とりわけ
純度が高く形状の美しいもの。
貴婦人垂涎の一品。",,1,,"The purest of all stomach
stones, its beauty makes it
popular among noblewomen."
"求愛のため、鮮やかな蒼色に
生え変わった眠鳥の体毛。
繁殖期の眠鳥から入手可能。",,1,,"The blue color is to attract
a mate. Can be carved from
a Hypnocatrice in spring."
"繁殖期の眠鳥から剥いだ
上質な毛。
毛素材として申し分がない。",,1,,"A lovely pelt carved from a
Hypnocatrice in spring.
A truly flawless fabric."
"ヴォルガノスから剥ぎ取れる金
色の鱗。灼熱の溶岩の熱に耐え
る強度を持つ。",,1,yes,"A golden scale carved from
a Volganos. Resistant to
even the most searing heat."
"ヴォルガノスの身を覆う甲殻。
鉱物を含む溶岩が冷え固まり、
外敵から身を守る鎧となった。",,1,yes,"This shell forms the outer
armor that protects a
Volganos's body."
"ヴォルガノスの牙。
甲殻類でさえ軽々と噛み砕く程
の鋭さがある。",,1,yes,"This Volganos fang is sharp
enough to crunch through
Carapaceons."
"ヴォルガノスのヒレ。
加工せずとも刃のような鋭さが
あり武器の素材として人気。",,1,yes,"This razor-sharp Volganos
fin can be used as a weapon
without any crafting."
"ヴォルガノスから剥ぎ取れる上
質な鱗。鮮やかで美しい金色は
コレクター涎垂の品。",,1,yes,"A top-quality scale carved
from a Volganos. Its golden
color makes it collectible."
"希少な鉱物を含んだヴォルガノ
スの堅殻。たとえ飛竜であって
も傷をつけるのは至難の業。",,1,yes,"A carapace that contains a
rare ore. Even Wyverns would
find it hard to penetrate."
"ヴォルガノスの鋭い牙。
鋭く強硬な牙は飛竜の外殻でさ
えも風穴を穿つ。",,1,yes,"This extremely sharp fang
can turn the toughest
Wyvern into a pincushion."
"かけがえのない友情で結ばれた
ハンター同士に送られる証。",,1,yes,"Proof of everlasting bonds
formed between Hunters."
"珍しい鉱石で作られた、
表面に「Ｎ」と刻まれている
銅色のメダル。",,1,yes,"Made from a rare mineral,
a copper medal that has an
""N"" engraved into it."
"珍しい鉱石で作られた、
表面に「Ｎ」と刻まれている
銀色のメダル。",,1,yes,"Made from a rare mineral,
a silver medal that has an
""N"" engraved into it."
"珍しい鉱石で作られた、
表面に「Ｎ」と刻まれている
金色のメダル。",,1,yes,"Made from a rare mineral,
a gold medal that has an
""N"" engraved into it."
"失われたとされていた、武具
の製法書『ネオジム』の一部
と見られるメモ。",,1,yes,"A note that seems part of the
long lost armor crafting method
called ""Neodymium""."
"失われたとされていた、武具
の製法書『メルクリ』の一部
と見られるメモ。",,1,yes,"A note that seems part of the
long lost armor crafting method
called ""Mercury""."
"猟団部屋内での通貨に等しい
役割をもつチケット。主に、
猟団クエストから入手可能。",,1,yes,"A ticket with a role equal to
the currency in the Guild Hall.
Mainly available in the Guild Quests."
