index,source,target
1936,ゴゴＦガード,Gardes Gogomoa F
1937,ワダツミ【大袖】,
1938,オカミ【大袖】,
1939,ディーナアーム,Brassards Diina
1940,ディーナＦアーム,Brassards Diina F
1941,絶影ノ袖,
1942,絶影ノ袖・魁,
1943,翔影ノ袖,
1944,翔影ノ袖・魁,
1945,黒虎ノ袖,
1946,黒豹ノ袖,
1947,刹帝利ノ篭手,
1948,婆羅門ノ篭手,
1949,ガリトスアーム・茶,Brassards Garitos bruns
1950,ガリトスＦアーム・茶,Brassards Garitos F bruns
1951,ガリトスガード・茶,Gardes Garitos brunes
1952,ガリトスＦガード・茶,Gardes Garitos F brunes
1953,ガリトスアーム・赤,Brassards Garitos rouges
1954,ガリトスＦアーム・赤,Brassards Garitos F rouges
1955,ガリトスガード・赤,Gardes Garitos rouges
1956,ガリトスＦガード・赤,Gardes Garitos F rouges
1957,ガリトスアーム・黒,Brassards Garitos noirs
1958,ガリトスＦアーム・黒,Brassards Garitos F noirs
1959,ガリトスガード・黒,Gardes Garitos noires
1960,ガリトスＦガード・黒,Gardes Garitos F noires
1961,ガリトスアーム・水,
1962,ガリトスＦアーム・水,
1963,ガリトスガード・水,
1964,ガリトスＦガード・水,
1965,リブリーアーム,Brassards Riburi
1966,リブリーＦアーム,Brassards Riburi F
1967,リブリーFZアーム,Brassards Riburi FZ
1968,リブリーガード,Gardes Riburi
1969,リブリーＦガード,Gardes Riburi F
1970,リブリーFZガード,Gardes Riburi FZ
1971,リーデレアーム,Brassards Ridere
1972,リーデレＦアーム,Brassards Ridere F
1973,リーデレガード,Gardes Ridere
1974,リーデレＦガード,Gardes Ridere F
1975,リエットアーム,Brassards Émeute
1976,リエットＦアーム,Brassards Émeute F
1977,リエットガード,Gardes Émeute
1978,リエットＦガード,Gardes Émeute F
1979,スケイナアーム,
1980,スケイナＦアーム,
1981,ミッシナアーム,
1982,ミッシナＦアーム,
1983,プリースアーム,
1984,プリースＦアーム,
1985,レキトリガード,
1986,レキトリＦガード,
1987,マドニカアーム,
1988,マドニカＦアーム,
1989,ヴィリヤアーム,
1990,ヴィリヤＦアーム,
1991,ラプラルアーム,
1992,ラプラルＦアーム,
1993,サザールガード,
1994,サザールＦガード,
1995,トラスグローブ青,
1996,トラスＦグローブ青,
1997,トラスミトン青,
1998,トラスＦミトン青,
1999,トラスグローブ赤,
2000,トラスＦグローブ赤,
2001,トラスミトン赤,
2002,トラスＦミトン赤,
2003,トラスグローブ白,
2004,トラスＦグローブ白,
2005,トラスミトン白,
2006,トラスＦミトン白,
2007,トラスグローブ紫,
2008,トラスＦグローブ紫,
2009,トラスミトン紫,
2010,トラスＦミトン紫,
2011,デモンカフス青,
2012,デモンＦカフス青,
2013,カオスカフス青,
2014,カオスＦカフス青,
2015,デモンカフス赤,
2016,デモンＦカフス赤,
2017,カオスカフス赤,
2018,カオスＦカフス赤,
2019,デモンカフス緑,
2020,デモンＦカフス緑,
2021,カオスカフス緑,
2022,カオスＦカフス緑,
2023,デモンカフス白,
2024,デモンＦカフス白,
2025,カオスカフス白,
2026,カオスＦカフス白,
2027,シャドウグローブ紫,
2028,シャドウＦグローブ紫,
2029,ソウルグローブ紫,
2030,ソウルＦグローブ紫,
2031,シャドウグローブ赤,
2032,シャドウＦグローブ赤,
2033,ソウルグローブ赤,
2034,ソウルＦグローブ赤,
2035,シャドウグローブ緑,
2036,シャドウＦグローブ緑,
2037,ソウルグローブ緑,
2038,ソウルＦグローブ緑,
2039,シャドウグローブ白,
2040,シャドウＦグローブ白,
2041,ソウルグローブ白,
2042,ソウルＦグローブ白,
2043,フィディアーム,
2044,エピディアーム,
2045,ヴェルフィアーム,
2046,ヴェルフィガード,
2047,テリオグアーム,
2048,テリオグガード,
2049,クロッスアーム,Brassards Kurossu
2050,クロッスＦアーム,Brassards Kurossu F
2051,クロッスガード,Gardes Kurossu
2052,クロッスＦガード,Gardes Kurossu F
2053,シエリーFXアーム,Brassards Shieri FX
2054,シエリーFXガード,Gardes Shieri FX
2055,クラフトFXアーム,
2056,クラフトFXガード,
2057,モスカバFXアーム,
2058,モスカバFXガード,
2059,エクセレFXアーム,Brassards Excelle FX
2060,エクセレFXガード,Gardes Excelle FX
2061,蒼空ノ袖・真,
2062,蒼天ノ袖・真,
2063,ビステマアーム,
2064,リオデュオＦアーム,Brassards Rath F
2065,リオデュオＦガード,Gardes Rath F
2066,ロークＦアーム,
2067,ロークＦガード,
2068,ブルホＦアーム・青,
2069,マーギアＦガード・青,
2070,ゴゴFXアーム,Brassards Gogomoa FX
2071,ゴゴFXガード,Gardes Gogomoa FX
2072,クラージFXアーム,Brassards Kuraaji FX
2073,クラージFXガード,Gardes Kuraaji FX
2074,ザーカーFXアーム,Brassards Zaakaa FX
2075,チェイサーFXガード,Gardes Poursuivant FX
2076,アビットFZアーム,Brassards Abitto FZ
2077,アビットFZガード,Gardes Abitto FZ
2078,アージェFZアーム,Brassards Arge FZ
2079,アージェFZガード,Gardes Arge FZ
2080,カマレラFZアーム,Brassards Camarera FZ
2081,カマレラFZガード,Gardes Camarera FZ
2082,メテネラFZアーム,Brassards Metenera FZ
2083,メテネラFZガード,Gardes Metenera FZ
2084,ルコFXクロウ,
2085,ルコFXフィスト,
2086,ザムザアーム,Brassards Zamuza
2087,ザムザＦアーム,Brassards Zamuza F
2088,ザムザFXアーム,Brassards Zamuza FX
2089,ザムザガード,Gardes Zamuza
2090,ザムザＦガード,Gardes Zamuza F
2091,ザムザFXガード,Gardes Zamuza FX
2092,アビオアーム,Brassards Abiorugu
2093,アビオＦアーム,Brassards Abiorugu F
2094,アビオFXアーム,Brassards Abiorugu FX
2095,アビオガード,Gardes Abiorugu
2096,アビオＦガード,Gardes Abiorugu F
2097,アビオFXガード,Gardes Abiorugu FX
2098,クロオビアームSP白,
2099,クロオビアームSP黒,
2100,クロオビアームSP青,
2101,アプカルアームSP白,
2102,アプカルアームSP緑,
2103,アプカルアームSP黄,
2104,ガレオスLXアーム,Brassards Cephalos LX
2105,ブランゴLXアーム,Brassards Blango LX
2106,グラビドLXアーム,Brassards Gravios LX
2107,ボーンLXガード,Gardes Os LX
2108,ガレオスRXアーム,Brassards Cephalos RX
2109,ブランゴRXアーム,Brassards Blango RX
2110,グラビドRXアーム,Brassards Gravios RX
2111,ボーンRXガード,Gardes Os RX
2112,白蛇ノ袖,
2113,白蛇ノ袖・魁,
2114,白鳥ノ袖,
2115,白鳥ノ袖・魁,
2116,カカブアーム,Brassards Kakabu
2117,カカブガード,Gardes Kakabu
2118,オネロアーム,Brassards Onero
2119,オネロガード,Gardes Onero
2120,ジャガーアーム,Brassards Jyaga
2121,ジャガーガード,Gardes Jyaga
2122,オメットアーム・黒,Brassards Omet noirs
2123,オメットＦアーム・黒,Brassards Omet F noirs
2124,オメットガード・黒,Gardes Omet noires
2125,オメットＦガード・黒,Gardes Omet F noires
2126,オメットアーム・赤,Brassards Omet rouges
2127,オメットＦアーム・赤,Brassards Omet F rouges
2128,オメットガード・赤,Gardes Omet rouges
2129,オメットＦガード・赤,Gardes Omet F rouges
2130,オメットアーム・白,Brassards Omet blancs
2131,オメットＦアーム・白,Brassards Omet F blancs
2132,オメットガード・白,Gardes Omet blanches
2133,オメットＦガード・白,Gardes Omet F blanches
2134,オメットアーム・青,Brassards Omet bleus
2135,オメットＦアーム・青,Brassards Omet F bleus
2136,オメットガード・青,Gardes Omet bleues
2137,オメットＦガード・青,Gardes Omet F bleues
2138,ルターレアーム,Brassards Rutare
2139,ルターレＦアーム,Brassards Rutare F
2140,ルターレガード,Gardes Rutare
2141,ルターレＦガード,Gardes Rutare F
2142,流転の篭手,
2143,流転の篭手・魁,
2144,旋転の篭手,
2145,旋転の篭手・魁,
2146,厳岩の籠手,
2147,厳岩の籠手・魁,
2148,不破の籠手,
2149,不破の籠手・魁,
2150,無想の籠手,
2151,無想の籠手・魁,
2152,俊激の袖,
2153,俊激の袖・魁,
2154,スイフドアーム,Brassards Suifudo
2155,スイフドＦアーム,Brassards Suifudo F
2156,メロデスアーム,Brassards Merodesu
2157,メロデスＦアーム,Brassards Merodesu F
2158,スマトスアーム,Brassards Sumatosu
2159,スマトスＦアーム,Brassards Sumatosu F
2160,パッシオガード,Gardes Passhio
2161,パッシオＦガード,Gardes Passhio F
2162,カウチュアーム・灰,
2163,カウチュＦアーム・灰,
2164,カウチュガード・灰,
2165,カウチュＦガード・灰,
2166,カウチュアーム・青,Brassards Kauchu bleus
2167,カウチュＦアーム・青,Brassards Kauchu F bleus
2168,カウチュガード・青,Gardes Kauchu bleues
2169,カウチュＦガード・青,Gardes Kauchu F bleues
2170,カウチュアーム・橙,Brassards Kauchu orange
2171,カウチュＦアーム・橙,Brassards Kauchu F orange
2172,カウチュガード・橙,Gardes Kauchu orange
2173,カウチュＦガード・橙,Gardes Kauchu F orange
2174,カウチュアーム・緑,Brassards Kauchu verts
2175,カウチュＦアーム・緑,Brassards Kauchu F verts
2176,カウチュガード・緑,Gardes Kauchu vertes
2177,カウチュＦガード・緑,Gardes Kauchu F vertes
2178,ジストレルＦアーム,Brassards Jisutoreru F
2179,リサーザＦアーム,Brassards Risaaza F
2180,リサーザＦガード,Gardes Risaaza F
2181,テクストFZアーム・紫,Brassards Texte FZ violets
2182,テクストFZアーム・緑,Brassards Texte FZ verts
2183,テクストFZアーム・青,Brassards Texte FZ bleus
2184,テクストFZアーム・黒,Brassards Texte FZ noirs
2185,テクストFZガード・紫,Gardes Texte FZ violettes
2186,テクストFZガード・緑,Gardes Texte FZ vertes
2187,テクストFZガード・青,Gardes Texte FZ bleues
2188,テクストFZガード・黒,Gardes Texte FZ noires
2189,スリートFZアーム・黄,Brassards Grésil FZ jaunes
2190,スリートFZアーム・銀,Brassards Grésil FZ argentés
2191,スリートFZアーム・赤,Brassards Grésil FZ rouges
2192,スリートFZアーム・青,Brassards Grésil FZ bleus
2193,スリートFZガード・黄,Gardes Grésil FZ jaunes
2194,スリートFZガード・銀,Gardes Grésil FZ argentées
2195,スリートFZガード・赤,Gardes Grésil FZ rouges
2196,スリートFZガード・青,Gardes Grésil FZ bleues
2197,ステノFZアーム・橙,Brassards Stheno FZ orange
2198,ステノFZアーム・桃,Brassards Stheno FZ roses
2199,ステノFZアーム・青,Brassards Stheno FZ bleus
2200,ステノFZアーム・赤,Brassards Stheno FZ rouges
2201,ステノFZガード・橙,Gardes Stheno FZ orange
2202,ステノFZガード・桃,Gardes Stheno FZ roses
2203,ステノFZガード・青,Gardes Stheno FZ bleues
2204,ステノFZガード・赤,Gardes Stheno FZ rouges
2205,エディオFZアーム・青,Brassards Edio FZ bleus
2206,エディオFZアーム・赤,Brassards Edio FZ rouges
2207,エディオFZアーム・黄,Brassards Edio FZ jaunes
2208,エディオFZアーム・黒,Brassards Edio FZ noirs
2209,エディオFZガード・青,Gardes Edio FZ bleues
2210,エディオFZガード・赤,Gardes Edio FZ rouges
2211,エディオFZガード・黄,Gardes Edio FZ jaunes
2212,エディオFZガード・黒,Gardes Edio FZ noires
2213,ガリトスFZアーム・茶,Brassards Garitos FZ bruns
2214,ガリトスFZアーム・赤,Brassards Garitos FZ rouges
2215,ガリトスFZアーム・黒,Brassards Garitos FZ noirs
2216,ガリトスFZアーム・水,
2217,ガリトスFZガード・茶,Gardes Garitos FZ brunes
2218,ガリトスFZガード・赤,Gardes Garitos FZ rouges
2219,ガリトスFZガード・黒,Gardes Garitos FZ noires
2220,ガリトスFZガード・水,
2221,ベイルＦガントレット,
2222,ダミー,
2223,ジェスアーム,Brassards Jess
2224,ジェスＦアーム,Brassards Jess F
2225,ジェスFYアーム,Brassards Jess FY
2226,ジェスHCアーム,Brassards Jess HC
2227,ジェスガード,Gardes Jess
2228,ジェスＦガード,Gardes Jess F
2229,ジェスFYガード,Gardes Jess FY
2230,ジェスHCガード,Gardes Jess HC
2231,エクエスHCアーム,Brassards Eques HC
2232,エクエスHCガード,Gardes Eques HC
2233,クラージHCアーム,Brassards Kuraaji HC
2234,クラージHCガード,Gardes Kuraaji HC
2235,メランFYアーム,Brassards Melan FY
2236,メランHCアーム,Brassards Melan HC
2237,メランFYガード,Gardes Melan FY
2238,メランHCガード,Gardes Melan HC
2239,ハルバダーFYアーム,Brassards Harubadaa FY
2240,ハルバダーHCアーム,Brassards Harubadaa HC
2241,トラッカーFYガード,Gardes Traqueur FY
2242,トラッカーHCガード,Gardes Traqueur HC
2243,オメットFZアーム・黒,Brassards Omet FZ noirs
2244,オメットFZガード・黒,Gardes Omet FZ noires
2245,オメットFZアーム・赤,Brassards Omet FZ rouges
2246,オメットFZガード・赤,Gardes Omet FZ rouges
2247,オメットFZアーム・白,Brassards Omet FZ blancs
2248,オメットFZガード・白,Gardes Omet FZ blanches
2249,オメットFZアーム・青,Brassards Omet FZ bleus
2250,オメットFZガード・青,Gardes Omet FZ bleues
2251,カウチュFZアーム・灰,
2252,カウチュFZガード・灰,
2253,カウチュFZアーム・青,Brassards Kauchu FZ bleus
2254,カウチュFZガード・青,Gardes Kauchu FZ bleues
2255,カウチュFZアーム・橙,Brassards Kauchu FZ orange
2256,カウチュFZガード・橙,Gardes Kauchu FZ orange
2257,カウチュFZアーム・緑,Brassards Kauchu FZ verts
2258,カウチュFZガード・緑,Gardes Kauchu FZ vertes
2259,カウチュHCアーム・灰,
2260,カウチュHCガード・灰,
2261,カウチュHCアーム・青,Brassards Kauchu HC bleus
2262,カウチュHCガード・青,Gardes Kauchu HC bleues
2263,カウチュHCアーム・橙,Brassards Kauchu HC orange
2264,カウチュHCガード・橙,Gardes Kauchu HC orange
2265,カウチュHCアーム・緑,Brassards Kauchu HC verts
2266,カウチュHCガード・緑,Gardes Kauchu HC vertes
2267,ガウスFZアーム,Brassards Gauss FZ
2268,ウェーバFZアーム,Brassards Weber FZ
2269,ギルバートFZアーム,Brassards Gilbert FZ
2270,ガウスFZガード,Gardes Gauss FZ
2271,ウェーバFZガード,Gardes Weber FZ
2272,ギルバートFZガード,Gardes Gilbert FZ
2273,ガウスHCアーム,Brassards Gauss HC
2274,ウェーバHCアーム,Brassards Weber HC
2275,ギルバートHCアーム,Brassards Gilbert HC
2276,ガウスHCガード,Gardes Gauss HC
2277,ウェーバHCガード,Gardes Weber HC
2278,ギルバートHCガード,Gardes Gilbert HC
2279,シャランFZアーム・青,Brassards Sharan FZ bleus
2280,シャランHCアーム・青,Brassards Sharan HC bleus
2281,シャランFZガード・青,Gardes Sharan FZ bleues
2282,シャランHCガード・青,Gardes Sharan HC bleues
2283,シャランFZアーム・緑,Brassards Sharan FZ verts
2284,シャランHCアーム・緑,Brassards Sharan HC verts
2285,シャランFZガード・緑,Gardes Sharan FZ vertes
2286,シャランHCガード・緑,Gardes Sharan HC vertes
2287,シャランFZアーム・紫,Brassards Sharan FZ violets
2288,シャランHCアーム・紫,Brassards Sharan HC violets
2289,シャランFZガード・紫,Gardes Sharan FZ violettes
2290,シャランHCガード・紫,Gardes Sharan HC violettes
2291,シャランFZアーム・白,Brassards Sharan FZ blancs
2292,シャランHCアーム・白,Brassards Sharan HC blancs
2293,シャランFZガード・白,Gardes Sharan FZ blanches
2294,シャランHCガード・白,Gardes Sharan HC blanches
2295,ダミー,
2296,ダミー,
2297,ダミー,
2298,ダミー,
2299,ダミー,
2300,ダミー,
2301,ダミー,
2302,ダミー,
2303,ダミー,
2304,ダミー,
2305,ダミー,
2306,ダミー,
2307,ダミー,
2308,ダミー,
2309,ダミー,
2310,ダミー,
2311,ダミー,
2312,ダミー,
2313,ダミー,
2314,ダミー,
2315,ダミー,
2316,ダミー,
2317,クアルアーム,Brassards Kuaru
2318,クアルＦアーム,Brassards Kuaru F
2319,クアルFXアーム,Brassards Kuaru FX
2320,クアルガード,Gardes Kuaru
2321,クアルＦガード,Gardes Kuaru F
2322,クアルFXガード,Gardes Kuaru FX
2323,ウィンドハトゥー,
2324,ウィンドマカーン,
2325,ルコクロウSP白,
2326,ルコクロウSP青,
2327,ルコクロウSP赤,
2328,ルコフィストSP白,
2329,ルコフィストSP青,
2330,ルコフィストSP赤,
2331,コムラダアームSP白赤,
2332,コムラダアームSP白青,
2333,コムラダアームSP白黄,
2334,ルベライトアーム,Brassards Rubellite
2335,ルベライトＦアーム,Brassards Rubellite F
2336,ルベライトFXアーム,Brassards Rubellite FX
2337,ラズライトアーム,Brassards Lazurite
2338,ラズライトＦアーム,Brassards Lazurite F
2339,ラズライトFXアーム,Brassards Lazurite FX
2340,ジルコンアーム,
2341,ジルコンＦアーム,
2342,ジルコンFXアーム,
2343,スピネルアーム,Brassards Spinel
2344,スピネルＦアーム,Brassards Spinel F
2345,スピネルFXアーム,Brassards Spinel FX
2346,パイローブアーム,Brassards Pyrope
2347,パイローブＦアーム,Brassards Pyrope F
2348,パイローブFXアーム,Brassards Pyrope FX
2349,アイオラアーム,Brassards Iolite
2350,アイオラＦアーム,Brassards Iolite F
2351,アイオラFXアーム,Brassards Iolite FX
2352,ジェイドアーム,
2353,ジェイドＦアーム,
2354,ジェイドFXアーム,
2355,アゲートアーム,
2356,アゲートＦアーム,
2357,アゲートFXアーム,
2358,シトリンガード,Gardes Citrine
2359,シトリンＦガード,Gardes Citrine F
2360,シトリンFXガード,Gardes Citrine FX
2361,ペリドットガード,Gardes Peridot
2362,ペリドットＦガード,Gardes Peridot F
2363,ペリドットFXガード,Gardes Peridot FX
2364,ターコイズガード,
2365,ターコイズＦガード,
2366,ターコイズFXガード,
2367,納言ノ袖,
2368,納言ノ袖・魁,
2369,納言ノ袖・粋,
2370,納言ノ袖・華,
2371,式部ノ袖,
2372,式部ノ袖・魁,
2373,式部ノ袖・粋,
2374,式部ノ袖・華,
2375,アルルアーム,Brassards Aruru
2376,アルルＦアーム,Brassards Aruru F
2377,アルルFYアーム,Brassards Aruru FY
2378,アルルHCアーム,Brassards Aruru HC
2379,アルルガード,Gardes Aruru
2380,アルルＦガード,Gardes Aruru F
2381,アルルFYガード,Gardes Aruru FY
2382,アルルHCガード,Gardes Aruru HC
2383,オーロワアーム,Brassards Oorowa
2384,オーロワＦアーム,Brassards Oorowa F
2385,オーロワFYアーム,Brassards Oorowa FY
2386,オーロワHCアーム,Brassards Oorowa HC
2387,オーロワガード,Gardes Oorowa
2388,オーロワＦガード,Gardes Oorowa F
2389,オーロワFYガード,Gardes Oorowa FY
2390,オーロワHCガード,Gardes Oorowa HC
2391,オネロＦアーム,Brassards Onero F
2392,オネロＦガード,Gardes Onero F
2393,ディールFYアーム,Brassards Diru FY
2394,ディールFYガード,Gardes Diru FY
2395,ストレガHCアーム,Brassards Strega HC
2396,ストレガHCガード,Gardes Strega HC
2397,ザーカーHCアーム,Brassards Zaakaa HC
2398,チェイサーHCガード,Gardes Poursuivant HC
2399,鬼神ノ篭手・極,
2400,鬼神ノ篭手・天,
2401,童子ノ篭手・極,
2402,童子ノ篭手・天,
2403,アナキＦアーム,
2404,アナキFYアーム,
2405,アナキHCアーム,
2406,アナキＦガード,
2407,アナキFYガード,
2408,アナキHCガード,
2409,ロイヤルFYアーム,
2410,ロイヤルHCアーム,
2411,ロードFYガード,
2412,ロードHCガード,
2413,フレイアーム,
2414,クロノスアーム,
2415,フレイガード,
2416,クロノスガード,
2417,ヒメロスHCアーム,Brassards Himeros HC
2418,ブレシスHCアーム,Brassards Bureshisu HC
2419,カリエンHCガード,Gardes Charien HC
2420,ブランFYアーム,Brassards Buran FY
2421,ブランHCアーム,Brassards Buran HC
2422,ゲリョスLXアーム,Brassards Gypceros LX
2423,ギザミLXアーム,Brassards Ceanataur LX
2424,レックスLXアーム,Brassards Tigrex LX
2425,モノブロスLXガード,Gardes Monoblos LX
2426,ゲリョスRXアーム,Brassards Gypceros RX
2427,ギザミRXアーム,Brassards Ceanataur RX
2428,エスピナRXファオスト,
2429,モノデビルRXガード,Gardes Monodevil RX
2430,カエシスアーム水,
2431,カエシスＦアーム水,
2432,カエシスFZアーム水,
2433,カエシスガード水,
2434,カエシスＦガード水,
2435,カエシスFZガード水,
2436,カエシスアーム赤,Brassards Cayssis rouges
2437,カエシスＦアーム赤,Brassards Cayssis F rouges
2438,カエシスFZアーム赤,Brassards Cayssis FZ rouges
2439,カエシスガード赤,Gardes Cayssis rouges
2440,カエシスＦガード赤,Gardes Cayssis F rouges
2441,カエシスFZガード赤,Gardes Cayssis FZ rouges
2442,カエシスアーム青,Brassards Cayssis bleus
2443,カエシスＦアーム青,Brassards Cayssis F bleus
2444,カエシスFZアーム青,Brassards Cayssis FZ bleus
2445,カエシスガード青,Gardes Cayssis bleues
2446,カエシスＦガード青,Gardes Cayssis F bleues
2447,カエシスFZガード青,Gardes Cayssis FZ bleues
2448,カエシスアーム橙,Brassards Cayssis orange
2449,カエシスＦアーム橙,Brassards Cayssis F orange
2450,カエシスFZアーム橙,Brassards Cayssis FZ orange
2451,カエシスガード橙,Gardes Cayssis orange
2452,カエシスＦガード橙,Gardes Cayssis F orange
2453,カエシスFZガード橙,Gardes Cayssis FZ orange
2454,嵐転の篭手,Kote Rolling
2455,嵐転の篭手・魁,
2456,地転の篭手,Kote Rolling
2457,地転の篭手・魁,
2458,キュビィアーム,Brassards Cubie
2459,キュビィＦアーム,Brassards Cubie F
2460,キュビィFZアーム,Brassards Cubie FZ
2461,キュビィガード,Gardes Cubie
2462,キュビィＦガード,Gardes Cubie F
2463,キュビィFZガード,Gardes Cubie FZ
2464,フラートアーム,
2465,フラートＦアーム,
2466,ナーレーアーム,
2467,ナーレーＦアーム,
2468,ヘイツアーム,
2469,ヘイツＦアーム,
2470,レーングガード,
2471,レーングＦガード,
2472,シャッドアーム,
2473,シャッドＦアーム,
2474,フュージアーム,
2475,フュージＦアーム,
2476,タニイアーム,
2477,タニイＦアーム,
2478,ミナムガード,
2479,ミナムＦガード,
2480,シエナアーム・銀,Brassards Sienne argentés
2481,シエナＦアーム・銀,Brassards Sienne F argentés
2482,シエナFZアーム・銀,Brassards Sienne FZ argentés
2483,シエナHCアーム・銀,Brassards Sienne HC argentés
2484,シエナガード・銀,Gardes Sienne argentées
2485,シエナＦガード・銀,Gardes Sienne F argentées
2486,シエナFZガード・銀,Gardes Sienne FZ argentées
2487,シエナHCガード・銀,Gardes Sienne HC argentées
2488,シエナアーム・黒,Brassards Sienne noirs
2489,シエナＦアーム・黒,Brassards Sienne F noirs
2490,シエナFZアーム・黒,Brassards Sienne FZ noirs
2491,シエナHCアーム・黒,Brassards Sienne HC noirs
2492,シエナガード・黒,Gardes Sienne noires
2493,シエナＦガード・黒,Gardes Sienne F noires
2494,シエナFZガード・黒,Gardes Sienne FZ noires
2495,シエナHCガード・黒,Gardes Sienne HC noires
2496,シエナアーム・赤,Brassards Sienne rouges
2497,シエナＦアーム・赤,Brassards Sienne F rouges
2498,シエナFZアーム・赤,Brassards Sienne FZ rouges
2499,シエナHCアーム・赤,Brassards Sienne HC rouges
2500,シエナガード・赤,Gardes Sienne rouges
2501,シエナＦガード・赤,Gardes Sienne F rouges
2502,シエナFZガード・赤,Gardes Sienne FZ rouges
2503,シエナHCガード・赤,Gardes Sienne HC rouges
2504,シエナアーム・青,Brassards Sienne bleus
2505,シエナＦアーム・青,Brassards Sienne F bleus
2506,シエナFZアーム・青,Brassards Sienne FZ bleus
2507,シエナHCアーム・青,Brassards Sienne HC bleus
2508,シエナガード・青,Gardes Sienne bleues
2509,シエナＦガード・青,Gardes Sienne F bleues
2510,シエナFZガード・青,Gardes Sienne FZ bleues
2511,シエナHCガード・青,Gardes Sienne HC bleues
2512,ガウスアーム,Brassards Gauss
2513,ガウスＦアーム,Brassards Gauss F
2514,ウェーバアーム,Brassards Weber
2515,ウェーバＦアーム,Brassards Weber F
2516,ギルバートアーム,Brassards Gilbert
2517,ギルバートＦアーム,Brassards Gilbert F
2518,ガウスガード,Gardes Gauss
2519,ガウスＦガード,Gardes Gauss F
2520,ウェーバガード,Gardes Weber
2521,ウェーバＦガード,Gardes Weber F
2522,ギルバートガード,Gardes Gilbert
2523,ギルバートＦガード,Gardes Gilbert F
2524,レギュクスＦアーム,Brassards Regyukusu F
2525,レギュクスＦガード,Gardes Regyukusu F
2526,ガルーダFZアーム,Brassards Garuda FZ
2527,ガルーダFZガード,Gardes Garuda FZ
2528,フィアラルFZアーム,Brassards Féral FZ
2529,フィアラルFZガード,Gardes Féral FZ
2530,パンデウムFZアーム,Brassards Pandeum FZ
2531,パンデウムFZガード,Gardes Pandeum FZ
2532,ディアンFZアーム,Brassards Dian FZ
2533,ディアンFZガード,Gardes Dian FZ
2534,ワイルドFZアーム,Brassards Sauvage FZ
2535,ワイルドFZガード,Gardes Sauvage FZ
2536,フラウアFZアーム,Brassards Fleur FZ
2537,フラウアFZガード,Gardes Fleur FZ
2538,フィアスFZアーム,Brassards Fias FZ
2539,フィアスFZガード,Gardes Fias FZ
2540,ヴィルトFZアーム,Brassards Viruto FZ
2541,ヴィルトFZガード,Gardes Viruto FZ
2542,テューンFZアーム,
2543,シュナイトFZガード,Gardes Schnite FZ
2544,ディクトFZアーム,Brassards Dicto FZ
2545,ディレットFZガード,Gardes Diletto FZ
2546,クリュスFZアーム,Brassards Kruss FZ
2547,クォートFZガード,
2548,スタリナFZアーム,Brassards Starina FZ
2549,スタリナFZガード,Gardes Starina FZ
2550,ルースFZアーム,
2551,ルースFZガード,
2552,ミラドFZアーム,Brassards Mirado FZ
2553,ミラドFZガード,Gardes Mirado FZ
2554,デュールFZアーム,Brassards Deyuru FZ
2555,デュールFZガード,Gardes Deyuru FZ
2556,ロバストFZハトゥー,
2557,ロバストFZフィスト,
2558,ファルコFZアーム,Brassards Falco FZ
2559,ファルコFZガード,Gardes Falco FZ
2560,ハウクスFZアーム,Brassards Howx FZ
2561,ハウクスFZガード,Gardes Howx FZ
2562,ピラータFZアーム,Brassards Pirata FZ
2563,ピラータFZガード,Gardes Pirata FZ
2564,ゼロイFZアーム,Brassards Zeroi FZ
2565,ゼロイFZガード,Gardes Zeroi FZ
2566,レイルFZアーム,
2567,レイルFZガード,
2568,リーデレFZアーム,Brassards Ridere FZ
2569,リーデレFZガード,Gardes Ridere FZ
2570,リエットFZアーム,Brassards Émeute FZ
2571,リエットFZガード,Gardes Émeute FZ
2572,ルターレFZアーム,Brassards Rutare FZ
2573,ルターレFZガード,Gardes Rutare FZ
2574,流転の篭手・雅,
2575,旋転の篭手・雅,
2576,嵐転の篭手・雅,
2577,地転の篭手・雅,
2578,オディバアーム,Brassards Odiva
2579,オディバＦアーム,Brassards Odiva F
2580,オディバFXアーム,Brassards Odiva FX
2581,オディバガード,Gardes Odiva
2582,オディバＦガード,Gardes Odiva F
2583,オディバFXガード,Gardes Odiva FX
2584,武者【篭手】,
2585,日光【篭手】,
2586,ブリッツＦアーム,
2587,ブリッツＦグローブ,
2588,フレイムＦアーム,Brassards Flamme F
2589,フレイムＦガード,Gardes Flamme F
2590,ウィンドＦハトゥー,
2591,ウィンドＦマカーン,
2592,武者Ｆ【篭手】,
2593,日光Ｆ【篭手】,
2594,ワダツミＦ【大袖】,
2595,オカミＦ【大袖】,
2596,チャチャブプーニヨ,
2597,チャチャブプニュス,
2598,チャチャブマーノ,
2599,チャチャブケイル,
2600,サンタアーム,Brassards Santa
2601,サンタＦアーム,Brassards Santa F
2602,サンタガード,Gardes Santa
2603,サンタＦガード,Gardes Santa F
2604,トリートアーム,
2605,トリートＦアーム,
2606,トリートFYアーム,
2607,トリートHCアーム,
2608,トリートガード,
2609,トリートＦガード,
2610,トリートFYガード,
2611,トリートHCガード,
2612,タングスアーム,Brassards Tangusu
2613,タングスＦアーム,Brassards Tangusu F
2614,タングスFYアーム,Brassards Tangusu FY
2615,タングスHCアーム,Brassards Tangusu HC
2616,コバルタガード,Gardes Kobaruta
2617,コバルタＦガード,Gardes Kobaruta F
